feature,processed_value,shap_value_high_risk,abs_shap
categorical__checking_account_status_A14,0.0,0.05746550978749995,0.05746550978749995
categorical__checking_account_status_A11,1.0,0.05026674980438133,0.05026674980438133
numeric__duration_months,48.0,0.049427852912527104,0.049427852912527104
categorical__property_type_A124,1.0,0.03130386538391324,0.03130386538391324
categorical__savings_account_A61,1.0,0.026338859957527005,0.026338859957527005
categorical__credit_history_A34,0.0,0.023400083228152103,0.023400083228152103
categorical__housing_A152,0.0,0.0210416265550576,0.0210416265550576
categorical__credit_history_A30,1.0,0.015764486979267484,0.015764486979267484
numeric__credit_amount,7119.0,0.011812750211985896,0.011812750211985896
categorical__savings_account_A65,0.0,0.011770108995628092,0.011770108995628092
numeric__installment_rate_pct_income,3.0,0.00990740896007401,0.00990740896007401
categorical__purpose_A42,1.0,-0.009708530544145604,0.009708530544145604
categorical__property_type_A121,0.0,0.008633835844329118,0.008633835844329118
categorical__other_installment_plans_A143,1.0,-0.0078073579012954445,0.0078073579012954445
numeric__age_years,53.0,-0.005716906399754486,0.005716906399754486
categorical__checking_account_status_A12,0.0,-0.005396640361812591,0.005396640361812591
categorical__other_installment_plans_A141,0.0,-0.004241350202472049,0.004241350202472049
categorical__employment_duration_A74,0.0,0.003834038574519911,0.003834038574519911
categorical__purpose_A41,0.0,0.0033140230224853852,0.0033140230224853852
numeric__liable_people_count,2.0,-0.0032752188928387767,0.0032752188928387767
categorical__housing_A151,0.0,-0.003025987991072517,0.003025987991072517
categorical__personal_status_sex_A92,0.0,-0.0028523255519385,0.0028523255519385
categorical__employment_duration_A72,0.0,-0.0028240451744965356,0.0028240451744965356
categorical__purpose_A43,0.0,0.00256612634841526,0.00256612634841526
categorical__housing_A153,1.0,0.0025446581108958246,0.0025446581108958246
categorical__job_type_A174,0.0,0.0023511686792944794,0.0023511686792944794
categorical__credit_history_A32,0.0,-0.0021546308647020897,0.0021546308647020897
categorical__personal_status_sex_A93,1.0,-0.0020819476497853638,0.0020819476497853638
categorical__employment_duration_A73,1.0,-0.0020764917263794316,0.0020764917263794316
categorical__telephone_A192,0.0,0.0019322877946175419,0.0019322877946175419
categorical__property_type_A122,0.0,0.0018654119173225983,0.0018654119173225983
categorical__other_debtors_guarantors_A103,0.0,0.0017830255204032183,0.0017830255204032183
categorical__foreign_worker_A202,0.0,0.001642689173328669,0.001642689173328669
categorical__foreign_worker_A201,1.0,0.001612245392731366,0.001612245392731366
categorical__job_type_A172,0.0,0.0014952473964644753,0.0014952473964644753
categorical__credit_history_A31,0.0,-0.001494330557264763,0.001494330557264763
numeric__existing_credits_count,2.0,0.001288189901557295,0.001288189901557295
numeric__present_residence_years,4.0,-0.0012372485780315094,0.0012372485780315094
categorical__other_debtors_guarantors_A101,1.0,0.0011708347100971945,0.0011708347100971945
categorical__savings_account_A63,0.0,0.0011032368854812114,0.0011032368854812114
categorical__purpose_A49,0.0,-0.0010875909770388216,0.0010875909770388216
categorical__purpose_A46,0.0,-0.0009694374225620002,0.0009694374225620002
categorical__property_type_A123,0.0,-0.0009527957141811172,0.0009527957141811172
categorical__savings_account_A64,0.0,0.0009520316480511415,0.0009520316480511415
categorical__employment_duration_A75,0.0,0.0009499566445301329,0.0009499566445301329
categorical__job_type_A173,1.0,0.0006753868701896468,0.0006753868701896468
categorical__checking_account_status_A13,0.0,0.000626205457116385,0.000626205457116385
categorical__telephone_A191,1.0,0.0005303995095877541,0.0005303995095877541
categorical__purpose_A40,0.0,-0.00048556263740035633,0.00048556263740035633
categorical__employment_duration_A71,0.0,-0.0003952135365878195,0.0003952135365878195
categorical__personal_status_sex_A94,0.0,0.0003478221098439809,0.0003478221098439809
categorical__other_debtors_guarantors_A102,0.0,-0.0003004374655548745,0.0003004374655548745
categorical__credit_history_A33,0.0,-0.00020743902014520746,0.00020743902014520746
categorical__other_installment_plans_A142,0.0,-0.0001393142964643174,0.0001393142964643174
categorical__job_type_A171,0.0,-0.00012673193314041419,0.00012673193314041419
categorical__personal_status_sex_A91,0.0,-9.294535260731196e-05,9.294535260731196e-05
categorical__purpose_A45,0.0,6.001783871257752e-05,6.001783871257752e-05
categorical__purpose_A44,0.0,2.596281028166467e-06,2.596281028166467e-06
categorical__savings_account_A62,0.0,2.7604650029599354e-07,2.7604650029599354e-07
categorical__purpose_A48,0.0,0.0,0.0
categorical__purpose_A410,0.0,0.0,0.0
